TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EKTR4;28,00;12,65;7,21;2,00;0,56;20,50;15,37;9,97;4,68;8,85;2,92;1,25;0,72;18,58;-0,82;1,11;27,78;7,79;13,07;0,28;0,72;0,78;4,01;9,79;60.468,56;13,98;3,88;0,14;6.883.410.445,64
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
ELET3;37,17;6,45;10,44;0,77;0,32;59,23;19,11;20,53;11,22;15,73;4,51;0,31;2,14;2,39;-0,45;1,95;7,42;3,08;3,68;0,42;0,58;0,15;-2,25;;151.165.934,97;47,96;3,56;-0,30;58.360.291.161,54
ELET5;80,50;3,89;22,62;1,68;0,70;59,23;19,11;20,53;24,31;15,73;4,51;0,31;4,64;5,19;-0,96;1,95;7,42;3,08;3,68;0,42;0,58;0,15;-2,25;;11.710,00;47,96;3,56;-0,64;58.360.291.161,54
ELET6;37,52;7,03;10,52;0,78;0,32;59,23;19,11;20,53;11,31;15,73;4,51;0,31;2,16;2,41;-0,45;1,95;7,42;3,08;3,68;0,42;0,58;0,15;-2,25;;73.016.993,67;47,96;3,56;-0,30;58.360.291.161,54
ELMD3;16,76;;-40,95;3,14;1,44;33,38;-24,10;-20,53;-34,88;-34,71;0,19;-0,02;8,41;5,06;-2,72;2,55;-7,66;-3,52;-7,31;0,46;0,54;0,17;;;5.217.483,06;5,35;-0,41;-0,16;2.311.347.678,12
ELPL3;8,31;;1,33;0,53;0,06;15,69;14,73;7,18;0,65;2,60;1,95;1,60;0,10;-14,59;-0,08;0,99;39,98;4,20;21,92;0,11;0,89;0,59;2,54;57,52;;15,59;6,23;0,02;1.640.949.623,22
EMAE3;25,35;30,82;3,64;1,21;0,62;47,99;36,04;53,73;5,43;10,64;-1,56;-0,35;1,96;2,39;-0,93;4,26;33,18;16,92;10,79;0,51;0,49;0,31;17,64;27,12;;20,97;6,96;0,02;2.103.408.895,84
EMAE4;77,80;11,05;11,18;3,71;1,89;47,99;36,04;53,73;16,67;10,64;-1,56;-0,35;6,01;7,32;-2,86;4,26;33,18;16,92;10,79;0,51;0,49;0,31;17,64;27,12;296.572,21;20,97;6,96;0,06;2.103.408.895,84
